	Humidity # 51.25185012817383	Hum Ambient temperature # 27.42130126953125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:37 CDT 2014	 X # 0.796875	 Y # -0.1875	Z # 0.4375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.796875	 Y # -0.109375	Z # 0.453125	Humidity # 51.93850326538086	Hum Ambient temperature # 27.335500488281248			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.765625	 Y # -0.25	Z # 0.5625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.828125	 Y # -0.03125	Z # 0.4375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.875	 Y # -0.03125	Z # 0.21875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 1.140625	 Y # 0.3125	Z # 0.0625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.78125	 Y # 0.203125	Z # 0.125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 1.03125	 Y # 0.25	Z # 0.140625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 1.03125	 Y # 0.25	Z # 0.53125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.515625	 Y # 0.15625	Z # 0.59375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:38 CDT 2014	 X # 0.859375	 Y # 0.421875	Z # 1.34375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.71875	 Y # 0.0	Z # 0.25	Humidity # 52.052947998046875	Hum Ambient temperature # 27.335500488281248			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 1.125	 Y # 0.265625	Z # 0.578125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.734375	 Y # 0.109375	Z # 0.609375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.953125	 Y # 0.03125	Z # 0.546875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.71875	 Y # 0.0	Z # 0.625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.6875	 Y # -0.078125	Z # 0.421875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.625	 Y # -0.203125	Z # 0.71875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.75	 Y # -0.234375	Z # 0.71875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.671875	 Y # -0.1875	Z # 0.640625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:39 CDT 2014	 X # 0.640625	 Y # -0.234375	Z # 0.71875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.65625	 Y # -0.21875	Z # 0.59375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.65625	 Y # -0.328125	Z # 0.828125	Humidity # 52.22842788696289	Hum Ambient temperature # 27.335500488281248			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.640625	 Y # -0.140625	Z # 0.78125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.65625	 Y # 0.25	Z # 0.8125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.59375	 Y # -0.234375	Z # 0.515625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.625	 Y # -0.234375	Z # 0.75			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.6875	 Y # -0.21875	Z # 0.71875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.59375	 Y # -0.203125	Z # 0.8125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.5	 Y # -0.25	Z # 0.703125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:40 CDT 2014	 X # 0.546875	 Y # -0.140625	Z # 0.796875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.625	 Y # -0.078125	Z # 0.875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.703125	 Y # -0.078125	Z # 0.75	Humidity # 52.28946304321289	Hum Ambient temperature # 27.338181762695307			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.640625	 Y # -0.109375	Z # 0.71875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.53125	 Y # -0.234375	Z # 0.96875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.609375	 Y # 0.03125	Z # 0.84375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.421875	 Y # -0.09375	Z # 0.9375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.515625	 Y # -0.046875	Z # 0.890625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.46875	 Y # 0.015625	Z # 0.71875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.546875	 Y # -0.078125	Z # 0.859375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:41 CDT 2014	 X # 0.5625	 Y # 0.125	Z # 0.8125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.625	 Y # 0.171875	Z # 0.8125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.484375	 Y # 0.109375	Z # 0.453125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.65625	 Y # 0.0625	Z # 0.859375	Humidity # 52.35049819946289	Hum Ambient temperature # 27.335500488281248			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.65625	 Y # -0.046875	Z # 0.8125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.65625	 Y # -0.046875	Z # 0.8125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.546875	 Y # -0.046875	Z # 0.75			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.484375	 Y # -0.109375	Z # 0.890625			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.453125	 Y # -0.25	Z # 0.875			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.46875	 Y # -0.203125	Z # 1.078125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:42 CDT 2014	 X # 0.296875	 Y # -0.125	Z # 0.484375			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:43 CDT 2014	 X # 0.5	 Y # -1.265625	Z # 1.28125			*
Latitude # 39.03360084	Longitude # -94.57602077	 Date # Sat Jun 21 21:55:43 CDT 2014	 X # 0.921875	 Y # -0.796875	Z # 1.40625			*
